https://quizlet.com/260139449/mastering-arabic-2-unit-1-flash-cards/
عُنوان، عَناوين	Address(es)
إقامة، إقامات	Residence(s)
شَقّة، سُقَق	Apartment(s)
قَرْيَة، قُرىّ	Village(s)
حَيّ، أحياء	District(s); area(s)
عائلة، عائلات	Family (families)
تُفولة، تُفولات	Childhood(s)
اب (آباء)/والِد	Father(s)
أُم (أُمهات)/والِدة	Mother(s)
أخ (إخوة)	Brother(s)
أُخْت (أخوات)	Sister(s)
إبن (أَبْنَاء)	Son(s)
إبنة (إبنات)	Daughter(s)
جدّ (أَجداد)	Grandfather(s)
جدّة (جدات)	Grandmother(s)
حفيد (أحفاد)	Grandson(s)
حفيدة (حفيدات)	Granddaughter(s)
خال (أخوال)	Maternal uncle(s)
خالة (خالات)	Maternal aunt(s)
عَمّ (أعمام)	Paternal uncle(s)
عَمّة (عمات)	Paternal aunt(s)
حَم (أحماء)	Father(s)-in-law
حَماة (حَمَوات)	Mother(s)-in-law
زَوْج (أزواج)	Husband(s)
زَوجة (زَوجات)	Wife (wives)
عام (اعوام)، سنة (سنوات)	Year(s)
ألف، ألاف	Thousand(s)
مُغَنٍ (مُغَنون/ين)	Singer(s)
طَبيب الأسنان (أطِبّاء الأسنان)	Dentist(s)
مُهَرِج (مُهَرِجون/ين)	Clown(s)
صَبيّ (صُبيان)	Young boy(s)
حفلة (حفلات)	Concert(s)/party (parties)
جِنازة (جنازات)	Funeral(s)
شَخص (أشخاص)	Person (people)
مَلابِس	Clothes
قِصّة (قِصَص)	Story (stories)
ثُلاثيّة (ثُلاثيات)	Trilogy (trilogies)
وَفيّ	Loyal
مَكّار	Cunning
رَشيق	Graceful
مُضحِك	Funny
حَكيم	Wise
رَقيق	Delicate
عَنيد	Stubborn
مَوهوب	Talented
مَحبوب	Popular
كَريم	Generous
كَسول	Lazy
نَشيط	Active
ذَكيّ	Intelligent
شَهير	Famous
بَدَويّ	Bedouin
سَكَنَ، يَسْكُن	Live
أقامَ، يُقيم	Reside
أمضَى، يُمضي	Spend (time)
غَنَّى، يُغَنِّي	Sing
إنتَقَلَ، يَنتَقِل	Move (house, etc)
بَدَأ، يَبدأ	Begin
نَشَرَ، يَنشُر	Publish
حَصَلَ، يَحْصُل على	Obtain/win (a prize, etc)
ماتَ، يموت	Die
أصلا	Originally
دَلتا النيل	Nile Delta
وُلِدتُ	I was born
وُلِدَ/وُلِدَت	He/she was born
