https://quizlet.com/210565989/mastering-arabic-2-unit-12-flash-cards/
سَعادة	Happiness
جَمال	Beauty
جِسم، أجسام	Body
رَأس، رُؤوس	Head
وَجه، وُجوه	Face
فَم، أفواه	Mouth
سِنّ، أسنان	Teeth
أنف، أُنوف	Nose
عَيْن، عيون	Eye
أُذُن، آذان	Ear
صَدر، صُدور	Chest
ذِراع، أذرُع	Arm
يَد، أياد	Hand
إصبَع، أصابِع	Finger
بَطن، بُطون، مِعدة، مِعَد	Stomach
رِجل، أرجُل، ساق، سيقان	Leg
قَدَم، أقدام	Foot
دَم	Blood
مَرَض، أمراض	Illness
ألَم، آلام	Pain
عَرَض، أعراض	Symptom
خَلَل، خَلال	Condition, disorder
صُداع	Headache
بَرد	Cold, chill
حُمّى	Fever
حَسّاسية (ات)	Allergy
مرض السكر	Diabetes
الحَصبة	Measles
وَزن، أوزان	Weight
بَدانة	Obesity
ضَغط	Pressure
تَحليل (ات)	Test, analysis
نَتيجة، نَتائِج	Result
دَواء، أدوِية	Medicine
صَيدَليّة (ات)	Pharmacy, chemist
حَبّة، حُبوب	Pill
البنيسلين	Penicillin
تَدخين	Smoking
هَواء	Air
مِلح	Salt
اِرتِفاع (ات)	Increase, rise
اِنخِفاض (ات)	Decrease
تَقليل	Reduction, reducing
إنذار (ات)	Warning
شِعار (ات)	Slogan
حملة (ات)	Campaign
تَحَدٍّ، تَحَدِّيات	Challenge
شُرطيّ (ون، ين)	Policeman
أمن	Security
أغلَبيّة	Majority
مُصاب ب...	Suffering (from)
دُهنيّ	Fatty
زائِد	Excessive
عَنيد	Stubborn
عَبيّ	Stupid
أقلَعَ، يُقلِع عن	Give up
ضَرَّ، يَضُرّ ب...	Damage
سَبَّبَ، يُسَبِّب	Cause
تَناوَلَ، يُتَناوَل	Take (pills)
لَقَّحَ، بُلَقِّح	Innoculate
اِستَمتَع، يَستَمتِع ب....	Enjoy
شَهِدَ، يَشهَد	Witness
بِالضَبط	Exactly
الهوا الطَلق	Fresh air
ضَغط الدم	Blood pressure
تمرينات رياضية	Exercise(s)
من اللازِم أن	Must
من الضَروريّ أن	Need to
من المَفروض أن	Should
من المُرَجَّح أن	Likely to
من المُحتَمَل أن	Might
على حَقّ	Right, correct
بالرَغم من	Despite
بدلاً عن	Instead of
شعر	Hair
رقبة	Neck
كتف	Shoulder
