https://quizlet.com/gb/359182579/mastering-arabic-2-unit-13-flash-cards/
مَسرَحِيّة (ات)	A play
شِعْر، أشعار	Poetry
أُغنِية، أغانٍ	Song
شاعِر، شُعَراء	Poet
موسيقيّ (ون، ين)	Musician
عُضو، أعضاء	Member (of family, club, etc)
مَجموعة (ات)	Group
رُعب	Horror
حَرب، حُروب	War
مَعرَكة، مَعارِك	Battle
جَيش، جُيوش	Army
جُنديّ، جُنود	Soldier
نار، نيران	Fire
حَدَث، أحداث	Event
تأثير (ات)	Effect
غياب	Absence
إيقاع	Pace, rhythm
نقد	Criticism, review
قَرن، قُرون	Century
كَوكَب، كَواكِب	Planet
أسَد، أُسود	Lion
تاريخيّ	Historical
كوميدية،هَزليّ	Comic
مَجهول	Unknown
صَعب الفَهم	Difficult to understand
نافِع	Useful
جائِع	Hungry
ضائِع	Lost
دارَ، يَدور حَول	Concern, be about
أتَى، يَأتي	Come
واجَهَ، يُواجِه	Face, confront
من تَأليف	Written by
رَبّ الأُسرة	Head of the family
الحرب العالمية الثانية	Second World War
إلى أن	Until (+ verb)
مُتَقَاعِد	retired
حِزب ج. أَحزاب	party (political)
اِستِقلال	independence
عَبْرَ	across, through, by way of (preposition)
ضُدّ	Against
مُؤَخَّراً	Recently
سَيئ - ون	bad, evil
في الخارِج	Outside / overseas
يَجِب أن	Should
فَهِمَ، يَفْهَم، الفَهْم	to understand
طَلَب - يطلُب	To request
ألقى يَُلقي إلقاء	To throw (a speech)
شَكَرَ /يَشْكُرُ	to thank
اِنتَقَدَ ، يَنتَقِد ، الاِنتِقاد	to criticize
اِحتاج / يَحتاج / الاِحتياج اِلى	To need
مَسرَح ج. مَسارِح	theatre
أثناء	during
رِواية ج. -ات	novel / narrative
رَقص	dance, dancing
راقِص	dancer
كاتِب - كُتّاب	author, writer
قِصّة (قِصَص)	story
