https://quizlet.com/264093955/mastering-arabic-2-unit-3-nouns-flash-cards/
حَياة (حَيَوات)	life
عادة (ات)	routine, habit
وَظيفة (وَظائِف)	position (job)
مجال (ات)	sphere/ job
صُحُفيّ (ون)	journalist
طبيب (ون)	doctor
مُحام (ون)	lawyer
مُصَمِّم (ون)	designer
مَندوب (ون)	representative
فَنّان (ون)	artist
بَنّاء (ون)	builder
سائِق (ون)	driver
حارِس (حُرّاس)	guard
مُدير (مُدَراء)	manager
مُساعِد (ون)	assistant
عامِل (عُمَالذذ)	worker
رجُل (رِجال) أعمال	businessman
سَيِّدة (ات) أعمال	businesswoman
شَرِكة (ات)	company/ business
هَندَسة	engineering
خِبرة	experience
راتِب (رَواتِب)	salary
مُؤهِّل (ات)	qualification
مَهارة (ات)	skill
فاتورة (فَواتير)	invoice
قائمة (ات)	list
تَذكِرة (تَذاكِر)	ticket
وَرَق (أوراق)	paper
نَزيل (نُزَلاء)	guest (hotel, etc.)
شَيء (أشياء)	(some)thing
إشراف	supervision
طَبَخ	cooking
بَحث (بُحوث)	search
مَطلوب	wanted/sought
طَموح	ambitious
