https://quizlet.com/264094907/mastering-arabic-2-unit-3-verbs-adjectives-other-flash-cards/
مَطلوب	wanted/sought
طَموح	ambitious
اِستَيقَظ / ياِستَيقِظ	get up
اِبتدَأ / يَبتَدِئ	begin
أعَدَّ / يُعِد	prepare
رَتَّبَ / يُرَتِّب	tidy
رَتَّبَ الفِراش	make the beds
كَوَى / يَكوي	iron
أغلَقَ / يُغلِق	lock
قاد / يَقود	drive
نَسِيَ / يَنسَى	forget
اِستَمَعَ / يَستَمعَ	listen
سيرة ذاتيّة	CV/ resume
بَرامِج الكُمبيوتر	computer programs
سوق الجُملة	wholesale market
مَبيعات	sales/ retail
تأمين صِحّي	health insurance
طالِب عَمَل	job seeker
إحصائيات	statistics
كَلِمة مُرور	password
الجِنس	gender/sex
تاريخ الميلاد	date of birth
لا يَقِلّ/ تَقِلّ عَن	not less than
حَسَبَ	according too
طَوال	all ___ long
دائِماً	always
عادةً	usually
أحياناً	sometimes
نادِراً	rarely
لا ... أبَداً	never
