https://quizlet.com/264083101/mastering-arabic-2-unit-3-work-and-routine-flash-cards/
حَياة (حَيَوات)	life
عادة (ات)	routine, habit
وَظيفة (وَظائِف)	position (job)
مجال (ات)	sphere/ job
صُحُفيّ (ون)	journalist
طبيب (ون)	doctor
مُحام (ون)	lawyer
مُصَمِّم (ون)	designer
مَندوب (ون)	representative
فَنّان (ون)	artist
بَنّاء (ون)	builder
سائِق (ون)	driver
حارِس (حُرّاس)	guard
مُدير (مُدَراء)	manager
مُساعِد (ون)	assistant
عامِل (عُمَالذذ)	worker
رجُل (رِجال) أعمال	businessman
سَيِّدة (ات) أعمال	businesswoman
شَرِكة (ات)	company/ business
هَندَسة	engineering
خِبرة	experience
راتِب (رَواتِب)	salary
مُؤهِّل (ات)	qualification
مَهارة (ات)	skill
فاتورة (فَواتير)	invoice
قائمة (ات)	list
تَذكِرة (تَذاكِر)	ticket
وَرَق (أوراق)	paper
نَزيل (نُزَلاء)	guest (hotel, etc.)
شَيء (أشياء)	(some)thing
إشراف	supervision
طَبَخ	cooking
بَحث (بُحوث)	search
مَطلوب	wanted/sought
طَموح	ambitious
اِستَيقَظ / ياِستَيقِظ	get up
اِبتدَأ / يَبتَدِئ	begin
أعَدَّ / يُعِد	prepare
رَتَّبَ / يُرَتِّب	tidy
رَتَّبَ الفِراش	make the beds
كَوَى / يَكوي	iron
أغلَقَ / يُغلِق	lock
قاد / يَقود	drive
نَسِيَ / يَنسَى	forget
اِستَمَعَ / يَستَمعَ	listen
سيرة ذاتيّة	CV/ resume
بَرامِج الكُمبيوتر	computer programs
سوق الجُملة	wholesale market
مَبيعات	sales/ retail
تأمين صِحّي	health insurance
طالِب عَمَل	job seeker
إحصائيات	statistics
كَلِمة مُرور	password
الجِنس	gender/sex
تاريخ الميلاد	date of birth
لا يَقِلّ/ تَقِلّ عَن	not less than
حَسَبَ	according too
طَوال	all ___ long
دائِماً	always
عادةً	usually
أحياناً	sometimes
نادِراً	rarely
لا ... أبَداً	never
