https://quizlet.com/273597994/mastering-arabic-2-unit-5-nouns-flash-cards/
سَفَر	Travel
سِياحة	Tourism
رِحْلَة (رِحلات)	Journey(s)
تأشيرة (تأشيرات)	Visa(s)
مَركَز (مَراكِز)	Centre(s)
مركز الرياضة	Sports centre
مركز التَسَوُّق	Shopping centre
مركز الشُرطة	Police station
مكتب (مكاتِب)	Office
مكتب السِياحة	Tourist office
مكتب الطيران	Airline office
مكتب البَريد	Post office
مَحَطّة	Station
مَحَطّة القِطار	Train station
مَحَطة الباص	Bus station
مَحَطة البَنزين	Petrol station
مَيدان (مَيادين)	Square(s)
ناصِية (نَواصٍ)	Corner(s)
إشارة المُرور (إشارات المُرور)	Traffic light(s)
قَلعة (قِلاع)	Fort(s)/castle(s)
طَريق (طُرُق)	Way(s)/road(s)
كَثيب الرِمال (كُثبان الرِمال)	Sand dune(s)
واحة (واحات)	Oasis (oases)
نَخلة (نَخيل)	Palm tree(s)
بِئر (آبار)	Water well(s)
مَنجَم (مَناجِم)	Mine(s)
نَقل	Transportation
خَطّ (خُطوط)	Airline(s)
قِطار الأنفاق	Underground train
حَجّ	Pilgrimage
بِطاقة بَريديّ (بِطاقات بَريديّ)	Postcard(s)
مَشكِلة (مَشاكِل)	Problem(s)
عَذاب	Torture
مَسروقات	Stolen items
ثَلج (ثُلوج)	Ice
عَصَبيّة	Nervousness
فَجر	Dawn
زِفاف	Wedding party
اِلتِقاط	Shooting (film, etc)
مَشهَد (مَشاهِد)	Scene(s) (film, etc)
كليب (كليبات)	Clip (video, etc)
