https://quizlet.com/282238854/mastering-arabic-2-unit-6-flash-cards/
طَعام (ج) أطعِمة	Food
مَحَلّ (ج) مَحَلات	Shop/store
مَخبَز (ج) مَخابز	Bakery
سمّاك (ج) سماكون/ين	Fishmonger
جَزّارة (ج) جَزارات	Butcher shop
بَقالة (ج) بَقالات	Grocer
لَبّان (ج) لَبّانون/ين	Dairy/milkman
خُضَريّ (ج) خُضَريّون/ين	Greengrocer
كَمّية (ج) كَمّيات	Measure/quantity
أُسلوب (ج) أساليب	Method
تَحضير	Preparation
كوب (ج) أكواب	Glass/cup
مِلعَقة (ج) مَلاعِق	Spoon
سيخ (ج)أسياخ	Skewer
كُفتة	Minced meat skewers
ضأني	Lamb/mutton
سَلاطة (ج) سَلاطات	Salad
خِيار	Cucumber
كَمّون	Cumin
نَعناع	Mint
ثوم	Garlic
فَصّ (ج) فُصوص	Clove/segment
تَمر	Dates
حلويّات	Sweets/desserts
وَجبة (ج) وَجبات	Meal
شخص (ج)أشخاص	Person
مُستَهلِك(ج) مُستَهلِكون/ين	Consumer
حِساب (ج) حَسابات	Bill
سِعر(ج) أسعار	Price
خَطأ(ج) أخطاء	Mistake/error
سِنّ (ج)أسنان	Tooth
صَوم	Fast(ing)
صائم (ج) صائمون/ين	Person fasting
آذان	Call to prayer
صَلاة (ج) صَلَوات	Prayer
مشويّ	Grilled
مقليّ	Fried
محمر	Fried/pan-fried
مَسلوق	Boiled
مَحشي	Stuffed
مُخَلِّل	Pickled
مَهروس	Creamed/mashed
مَفروم	Minced
مَبشور	Grated
مُقَطَّع	Chopped
ضارّ (بِ)	Harmful/bad (for)
صَحيح	Correct
نَسيَ، يَنسَى	Forget
تَذَكَّرَ، يَتَذَكَّر	Remember
تَناوَلَ، يَتَناوَل	Eat/partake
أفطَرَ، يُفطِر	Eat breakfast
اِستَهلَكَ، يَستَهلِك	Consume
اِنكَسَرَ، يَنكَسِر	Break/be broken
اِعتَقَدَ، يَعتَقِد	Believe/think
اِختَلَفَ، يَختَلِف	Differ
زادَ، يزيد	Increase
طبق اليوم	Dish of the day
زجاجة مياه	Bottle of water
في الفرن	Baked (in the oven)
بسيطة	It's nothing ('easy')
على حَقّ	Right/correct
تقليدياً	Traditionally
اِخلِطوا...	Mix...
أضيفوا...	Add...
قَسِّموا...	Divide...
ضَعوا	Put...
، غِذاء (ج) أغذِية	Meal
