https://quizlet.com/283745718/mastering-arabic-2-unit-8-clothes-colours-flash-cards/
مَلابِس (مَلبَس =singular)	clothes, clothing 
(sg. an item of clothing)
ثَوب - ثِياب	sg. robe, pl. clothes
زيّ - أزياء	sg. outfit/uniform, 
pl. clothes
لَوْن - ألْوان	colour
طَقْم - طُقُوم	outfit (also "set" of something)
مَقاس - ات	size
جِسم - أجسام	body
قَميص - قميصان	shirt
فُستان - فَساتين	dress
بَنطَلون - ات	trousers
سِروال - سَراويل	trousers
جيبة - ات	skirt
تَنّورة - ات	skirt
تي شيرت	T-shirt
شورت	shorts
مِعطَف - مَعاطِف	coat
بَدلة - بِدَل	suit
حذاء - أحذِية	shoes
صَندَل - صَنادِل	sandals
جَوْرَب - جَوَارِب	socks
حِزام - ات	belt
سُترة - سُتَر	jacket
جاكيت - ات	jacket
حِجاب - ات	headscarf, hijab
رَبطة - رِبَاط - عُنُق	tie
رَبَطَ ، يَرْبُط	to tie, bind
صُدَيرِية - ات	waistcoat
صَدْر -- صُدُور	chest (m)
بِيجامة - ات	pyjamas
بوت	boots
سويتر - ات	sweater
بُلوفِر - ات	pullover
شال - شيلان	shawl
بلوزة - ات	blouse
جينز - ات	jeans
قُبَّعَة - قُبَّعَات	hat
نَظّارة - ات	glasses
كُمّ - أَكْمَام	sleeve
بِنِصف كُمّ	short-sleeved
ياقة - ات	collar
جَيب - جُيوب	pocket
زِرّ - أزرار	button
تَطْريز	embroidery
مُطَرَّز	embroidered
صوف	wool
ياقوت	sapphire
جَلابيّة - ات، عَباية - ات، ثَوْب - ثِياب	traditional robe/cloak
شِماغ، كوفيّة - ات	traditional men's headscarf
ناس	people
اِمرَأة - نِساء
(المرأة)	woman
مُحَجَّبة - ات	woman who wears the hijab
بيئة - ات	environment
صَيف	summer
شِتاء	winter
شُعَاع، أشِعّة	ray
حِماية	protection
رَماديّ or رَصَاصي	grey (leaden, or ash)
رَصاصيّ	(lead) dark grey
وَرديّ	pink
بُرتقاليّ	orange (adj)
بَنَفسَجي	violet (adj)
لَيمونيّ	lemon-coloured
مِشمِشيّ	apricot-coloured
فِضّيّ	silver (adj)
ذَهَبيّ	gold (adj)
عَسَليّ	honey-coloured
بُنِّيّ	brown (coffee bean)
فاتِح	light (colour)
داكِن	dark (colour)
واسِع	loose, spacious
عريض	wide
ضَيِّق	narrow/tight
ضَعِيف -- ضُعَفَاء، ضِعَاف	weak
ضَيْف -- ضُيوُف	guest
مُرِيح -- مُرِيحُون	comfortable
زاهٍ	bright (colour)
أنيق	smart, elegant
صَيفي	summer (adj)
مُحْتَشِم	modest
طَبيعيّ	natural
مُحايد	neutral
فَضفاض	loose, flowing
لَبِسَ، يَلبَس	to wear, put on
جَرَّبَ، يُجَرِّب	to try (on), test
صَمَّمَ، يُصَمِّم	to design
عَكَسَ، يَعكِس	to reflect
سَمَحَ، يَسمَح (لِ)	to allow (for)
اِبتَسَمَ، يَبتَسِم	to smile
سَدَّ، يَسُدّ	to block
أصَرَّ، يُصِرّ	to be determined
تَرَدَّد، يَتَرَدَّد	to hesitate
اِنضَمَّ، يَنصَمّ	to join
مِثل	like, similar to
باقي ...	the rest of ...
فِعلاً!	really!
مَشغول باليَد	handmade
عَرض الأزياء	clothes show
الَّذِي	who, which (masc sing)
الَذين	who (masc plural)
الَتي	who, which (fem sing, non human plural)
اللَّاتِي	who (fem plural, people)
