https://quizlet.com/283759276/mastering-arabic-2-unit-8-clothes-flash-cards/
مَلابِس (مَلبَس =singular)	clothes, clothing 
(sg. an item of clothing)
ثَوب - ثِياب	sg. robe, pl. clothes
زيّ - أزياء	sg. outfit/uniform, 
pl. clothes
طَقْم - طُقُوم	outfit (also "set" of something)
مَقاس - ات	size
جِسم - أجسام	body
قَميص - قميصان	shirt
فُستان - فَساتين	dress
بَنطَلون - ات	trousers
سِروال - سَراويل	trousers
جيبة - ات	skirt
تَنّورة - ات	skirt
تي شيرت	T-shirt
شورت	shorts
مِعطَف - مَعاطِف	coat
بَدلة - بِدَل	suit
حذاء - أحذِية	shoes
صَندَل - صَنادِل	sandals
جَوْرَب - جَوَارِب	socks
حِزام - ات	belt
سُترة - سُتَر	jacket
جاكيت - ات	jacket
حِجاب - ات	headscarf, hijab
رَبطة - رِبَاط - عُنُق	tie
صُدَيرِية - ات	waistcoat
صَدْر -- صُدُور	chest (m)
بِيجامة - ات	pyjamas
بوت	boots
سويتر - ات	sweater
بُلوفِر - ات	pullover
شال - شيلان	shawl
بلوزة - ات	blouse
جينز - ات	jeans
قُبَّعَة - قُبَّعَات	hat
نَظّارة - ات	glasses
كُمّ - أَكْمَام	sleeve
بِنِصف كُمّ	short-sleeved
ياقة - ات	collar
جَيب - جُيوب	pocket
زِرّ - أزرار	button
جَلابيّة - ات، عَباية - ات، ثَوْب - ثِياب	traditional robe/cloak
شِماغ، كوفيّة - ات	traditional men's headscarf
