https://quizlet.com/208318193/mastering-arabic-2-unit-9-flash-cards/
تعليم	Education
تدريب	Training
تَربية	Education/upbringing
تَدريس	Teaching
دراسة	Studying
مَرحَلة، مَرحَلات	Stage
صَفّ، صُفوف	Class/grade
رَوضة، رِياض	Kindergarten
دَورة، دَورات	Course
عُمر، أعمار	Age
مادّة، مَوادّ	Subject
عِلم، عُلوم	Science
عِلم الأحياء	Biology
عِلم الفيزياء	Physics
عِلم الكيمياء	Chemistry
عِلم الاِقتصاد	Economics
عِلم الاِجتِماع	Sociology
عِلم النَفس	Psychology
الفَلسَفة	Philosophy
الطِبّ	Medicine
الحُقوق	Law
الآداب	Literature
التِجارة	Business studies
الهندسة	Engineering
الهندسة المدنيّة	Civil engineering
الجبر	Algebra
اللغة الصينية	Chinese (language)
اِمتِحان	Exam
دارِس	Student
مُعَلِّم	Instructor/teacher
تعليمات	Instructions
عالِم، عُلماء	Scientist
زميل، زُملاء	Colleague, fellow (student)
اِبتِدائيّ	Primary
إعداديّ، متوسط	Middle school
ثانويّ	Secondary
موحوب في	Talented (at)
مُتَفَوِّق في	Excelling (in)
صَعب التَعَلُّم	Difficult to learn
إيجابيّ	Positive
سَلبيّ	Negative
مَدرَسيّ	Scholastic/school (adj)
تَعليميّ	Educational
عِلميّ	Scientific
أجاد، يُجيد	Be good at
ظَنَّ، يَظُنّ	Think/believe
عَلِمَ، يَعلَم	Know
عَلَّمَ، يُعَلِّم	Instruct
تَعَلَّمَ، يَتَعَلَّم	Learn
دَرَّسَ، يُدَرِّس	Teach
جملة، جُمَل	Sentence
سُؤال، أسئِلة	Question
نَصّ، نُصوص	Text
عَلامة، عَلامات	Mark, tick
حِوار، حِوارات	Dialogue
مَعنى، مَعانٍ	Meaning
فِراغ، فِراغات	Blank, gap
أُمنية، أُمنيات	Wish
جَرَس، أجراس	Bell
تعميم	General application
تُراب	Dust
مُقبِل	Coming, next
مَمنوع	Forbidden
نَموذَجيّ	Model (adj)
سَجَّلَ، يُسَجِّل	Enrol
نَصَحَ، يَنصَح (ب)	Advise
وَضَعَ، يَضَع	Put, place
أعطَى، يَعطي	Give
قَلَبَ، يَقلِب	Turn over
رَكَّزَ، يُرَكِّز	Concentrate
اِتَّصَلَ، يَتَّصِل	Contact
شَكا، يَشكو	Complain
اِستَفاد، يَستَفيد (من)	Benefit (from)
ذَكَرَ، يَذكر	Mention
شَرحَ، يَشرَح	Explain
مَلأ، يَملأ	Fill
اِستَعمَل، يَستَعمِل	Use/employ
أكمَلَ، يُكمِل	Complete
لَوَّنَ، يُلَوِّن	Colour
أغلَقَ، يُغلِق	Close, switch off
وَقَفَ، يَقِف	Stop
طَبَّقَ، يُطَبِّق	Apply
رَحَّبَ، يُرَحِّب	Welcome
يَنبَغي على	Should, ought to
صالة الامتحانات	Examination hall
رقم الجلوس	Candidate number
ورقة الإجابة	Question paper
ورقة الأسئِلة	Answer paper
شِفاهةً	Orally
بَدءا من	Starting with
