خبر، أخبار : News item, news : 10 # ma-2-unit-10.tab:2
خبر، أخبار : News item, news : 10 # ma-2-unit-10-v2.tab:2

وَسائِل الإعلام : Media : 10 # ma-2-unit-10.tab:3
وسائل الإعلام : media : 10* # ma-2-unit-10-memrise.tab:30
وَسائِل الإعلام : Media : 10 # ma-2-unit-10-v2.tab:3

إذاعة : Broadcasting : 10 # ma-2-unit-10.tab:4

بَثّ : Transmission : 10 # ma-2-unit-10.tab:5
بثّ : transmission : 10* # ma-2-unit-10-memrise.tab:7
بَثّ : transmission, broadcast; dissemination, spreading : 10 # ma-2-unit-10-v2.tab:60

تَغطية : Coverage : 10 # ma-2-unit-10.tab:6
تغطية : coverage : 10* # ma-2-unit-10-memrise.tab:10
تَغطية : covering; (news) coverage : 10 # ma-2-unit-10-v2.tab:35

تَحليل : Analysis : 10 # ma-2-unit-10.tab:7
تحليل : analysis : 10* # ma-2-unit-10-memrise.tab:8
تَحليل : Analysis : 10 # ma-2-unit-10-v2.tab:4

قَناة، قَنَوات : Channel : 10 # ma-2-unit-10.tab:8
قناة/قنوات : channel : 10* # ma-2-unit-10-memrise.tab:19
قَناة، قَنَوات : Channel : 10 # ma-2-unit-10-v2.tab:5

عُنوان، عَناوين : Headline : 10 # ma-2-unit-10.tab:9
عُنوان، عَناوين : Headline : 10 # ma-2-unit-10-v2.tab:6

عامود، عَواميد : Column : 10 # ma-2-unit-10.tab:10

مَوضوع، مَواضيع : Topic : 10 # ma-2-unit-10.tab:11
موضوع/مواضيع : topic : 10* # ma-2-unit-10-memrise.tab:28
مَوضوع، مَواضيع : Topic : 10 # ma-2-unit-10-v2.tab:7

مَصدَر، مَصادِر : Source : 10 # ma-2-unit-10.tab:12
مصدر/مصادر : source : 10* # ma-2-unit-10-memrise.tab:26
مَصدَر، مَصادِر : Source : 10 # ma-2-unit-10-v2.tab:8

إعادة (ات) : Repeat : 10 # ma-2-unit-10.tab:13
إعادة : Repeat /make come back : 10 # ma-2-unit-10-v2.tab:9

مُذيع (ون/ين) : Broadcaster : 10 # ma-2-unit-10.tab:14
مذيع/مذيعون : broadcaster : 10* # ma-2-unit-10-memrise.tab:22

رَئيس (رُؤساء) التَحرير : Editor : 10 # ma-2-unit-10.tab:15

مُستَمع : Listener : 10 # ma-2-unit-10.tab:16
مستمع/مستمعون : listener : 10* # ma-2-unit-10-memrise.tab:23
مُستَمع : Listener : 10 # ma-2-unit-10-v2.tab:10

مُشاهِد : Viewer : 10 # ma-2-unit-10.tab:17
مشاهد/مشاهدون : viewer : 10* # ma-2-unit-10-memrise.tab:25
مُشاهِد : Viewer : 10 # ma-2-unit-10-v2.tab:11

السِياسة : Politics : 10 # ma-2-unit-10.tab:18
السياسة : politics : 10* # ma-2-unit-10-memrise.tab:3
السِياسة : Politics : 10 # ma-2-unit-10-v2.tab:12

المال : Finance : 10 # ma-2-unit-10.tab:19
المال : finance : 10* # ma-2-unit-10-memrise.tab:5
المال : Finance : 10 # ma-2-unit-10-v2.tab:13

المُجتَمَع : Society : 10 # ma-2-unit-10.tab:20
المجتمع : society : 10* # ma-2-unit-10-memrise.tab:6
المُجتَمَع : Society : 10 # ma-2-unit-10-v2.tab:14

التَكنولوجيا : Technology : 10 # ma-2-unit-10.tab:21
التَكنولوجيا : Technology : 10 # ma-2-unit-10-v2.tab:15

