مَنزِل (مَنازِل) : home : 2* : Split vocab entry for "house/home"
دار (دِيار/دور) : house : 2* : Split vocab entry for "house/home"

#منزل/منازل : home : 2* # ma-2-unit-2-memrise.tab:27

#دار/ديار : house : 2* # ma-2-unit-2-memrise.tab:9
#دار (دِيار/دور)، مَنزِل (مَنازِل) : house/home : 2 # ma-2-unit-2.tab:2
#دار (دِيار/دور)، مَنزِل (مَنازِل) : House(s)/home(s) : 2 # ma-2-unit-2-nouns.tab:2

مَسكَن (مَساكِن) : house/residence : 2* # ma-2-unit-2.tab:3
#مَسكَن (مَساكِن) : House(s)/residence(s) : 2 # ma-2-unit-2-nouns.tab:3

مَوقع (مَواقِع) : location : 2 # ma-2-unit-2.tab:4
#مَوقع (مَواقِع) : Location(s) : 2 # ma-2-unit-2-nouns.tab:4

عِمارة (عِمارات) : apartment building : 2 # ma-2-unit-2.tab:5
#عِمارة (عِمارات) : Apartment building(s) : 2 # ma-2-unit-2-nouns.tab:5

طابِق (طَوابِق) : floor, storey : 2* # ma-2-unit-2.tab:6
#طابق/طوابق : floor (storey) : 2* # ma-2-unit-2-memrise.tab:15
#طابِق (طَوابِق) : Floor(s)/storey(s) : 2 # ma-2-unit-2-nouns.tab:6

مَدخَل (مَداخِل) : entrance : 2 # ma-2-unit-2.tab:7
#مَدخَل (مَداخِل) : Entrance(s) : 2 # ma-2-unit-2-nouns.tab:7

صالة (صالات) : hall : 2* # ma-2-unit-2.tab:8
# صالة/صالات : hall : 2* # ma-2-unit-2-memrise.tab:14
# صالة (صالات) : Hall(s) : 2 # ma-2-unit-2-nouns.tab:8

سُلَّم (سُلالِم) : stairs : 2* # ma-2-unit-2.tab:9
# سلّم/سلالم : stairs : 2* # ma-2-unit-2-memrise.tab:12
# سُلَّم (سُلالِم) : Stairs : 2 # ma-2-unit-2-nouns.tab:9

سَطح (سُطوح) : roof : 2 # ma-2-unit-2.tab:10
#سَطح (سُطوح) : Roof(s) : 2 # ma-2-unit-2-nouns.tab:10

غُرفة (غُرَف) : room : 2 # ma-2-unit-2.tab:11

غُرفة نَوْم : bedroom : 2* # ma-2-unit-2.tab:12
#غرفة نوم : bedroom : 2* # ma-2-unit-2-memrise.tab:18
