##@ MA 2 Unit %g

تَرفيه : leisure : 4* # ma-2-unit-4.tab:2
# ترفيه : leisure : 4* # ma-2-unit-4-memrise.tab:2
# تَرفيه : Leisure : 4 # ma-2-unit-4-nouns.tab:2

وَقت الفِراغ : free time : 4* # ma-2-unit-4.tab:3
# وقت الفراغ : free time : 4* # ma-2-unit-4-memrise.tab:30
# وَقت الفِراغ : Free time : 4 # ma-2-unit-4-nouns.tab:3

نَشاط (أنشِطة) : activity : 4* # ma-2-unit-4.tab:4
# نشاط/أنشطة : activity : 4* # ma-2-unit-4-memrise.tab:28
# نَشاط (أنشِطة) : Activity (activities) : 4 # ma-2-unit-4-nouns.tab:4

هِواية (هِوايات) : hobby : 4* # ma-2-unit-4.tab:5
# هواية/هوايات : hobby : 4* # ma-2-unit-4-memrise.tab:29
# هِواية (هِوايات) : Hobby (hobbies) : 4 # ma-2-unit-4-nouns.tab:5

صِحّة : health : 4 # ma-2-unit-4.tab:6
# صِحّة : Health : 4 # ma-2-unit-4-nouns.tab:6

كُرة (كُرات) : ball : 4 # ma-2-unit-4.tab:7
#كُرة (كُرات) : Ball(s) : 4 # ma-2-unit-4-nouns.tab:7

كُرة السَلّة : basketball : 4* # ma-2-unit-4.tab:9
# كرة السلّة : basketball : 4* # ma-2-unit-4-memrise.tab:14
# كُرة السَلّة : Basketball : 4 # ma-2-unit-4-nouns.tab:9

كُرة اليَد : handball : 4 # ma-2-unit-4.tab:10
# كُرة اليَد : Handball : 4 # ma-2-unit-4-nouns.tab:10

كُرة القَدَم : football (soccer) : 4* # ma-2-unit-4.tab:8
# كرة القدم : football (soccer) : 4* # ma-2-unit-4-memrise.tab:15
# كُرة القَدَم : Football (soccer) : 4 # ma-2-unit-4-nouns.tab:8

الكُرة الطائِرة : volleyball : 4 # ma-2-unit-4.tab:11
# الكُرة الطائِرة : Volleyball : 4 # ma-2-unit-4-nouns.tab:11

تنس : tennis : 4* # ma-2-unit-4.tab:12
# تنس : tennis : 4* # ma-2-unit-4-memrise.tab:4
# تنس : Tennis : 4 # ma-2-unit-4-nouns.tab:12

تنس الطاوِلة : table tennis (ping-pong) : 4 # ma-2-unit-4.tab:13
# تنس الطاوِلة : Table tennis (Ping-Pong) : 4 # ma-2-unit-4-nouns.tab:13

سِباحة : swimming : 4* # ma-2-unit-4.tab:14
# سباحة : swimming : 4* # ma-2-unit-4-memrise.tab:8
# سِباحة : Swimming : 4 # ma-2-unit-4-nouns.tab:14

ألعاب القُوَى : athletics : 4 # ma-2-unit-4.tab:15
# ألعاب القُوَى : Athletics : 4 # ma-2-unit-4-nouns.tab:15

تدريب : training : 4 # ma-2-unit-4.tab:16
# تدريب : Training : 4 # ma-2-unit-4-nouns.tab:16

مُلاكَمة : boxing : 4 # ma-2-unit-4.tab:17
# مُلاكَمة : Boxing : 4 # ma-2-unit-4-nouns.tab:17

إسكواش : squash : 4 # ma-2-unit-4.tab:18
# إسكواش : Squash : 4 # ma-2-unit-4-nouns.tab:18

جودو : judo : 4 # ma-2-unit-4.tab:19
# جودو : Judo : 4 # ma-2-unit-4-nouns.tab:19

جولف : golf : 4 # ma-2-unit-4.tab:20
# جولف : Golf : 4 # ma-2-unit-4-nouns.tab:20

رُكُوب الخيل : horse riding : 4* # ma-2-unit-4.tab:21
# ركوب الخيل : horse riding : 4* # ma-2-unit-4-memrise.tab:7
# رُكُوب الخيل : Horse riding : 4 # ma-2-unit-4-nouns.tab:21

صَيد السمك : fishing : 4* # ma-2-unit-4.tab:22
# صيد السمك : fishing : 4* # ma-2-unit-4-memrise.tab:11
# صَيد السمك : Fishing : 4 # ma-2-unit-4-nouns.tab:22

تَصوير : photography : 4* # ma-2-unit-4.tab:23
# تصوير : photography : 4* # ma-2-unit-4-memrise.tab:3
# تَصوير : Photography : 4 # ma-2-unit-4-nouns.tab:23

لاعِب(ون) : player : 4* # ma-2-unit-4.tab:24
# لاعب/لاعبون : player : 4* # ma-2-unit-4-memrise.tab:17
# لاعِب : Player : 4 # ma-2-unit-4-nouns.tab:24

عَدّاء (عَدّاؤون/عَدّائين) : runner : 4 # ma-2-unit-4.tab:25
# عَدّاء (عَدّاؤون/عَدّائين) : Runner(s) : 4 # ma-2-unit-4-nouns.tab:25

مُلاكِم (مُلاكِمون/ين) : boxer : 4 # ma-2-unit-4.tab:26
# مُلاكِم (مُلاكِمون/ين) : Boxer(s) : 4 # ma-2-unit-4-nouns.tab:26

